FID,community,shape_area,area_num,community,type,development,X_Coordina,Y_Coordina,Latitude,Longitude,t_units,t_aunits,index,pcrowded,ppoverty,punemploy,peducation,page,income
0,DOUGLAS,46004621.16,35,Douglas,Multifamily,54,1176805.951,1881719.108,41.83078218,-87.62679018,7779,3001,39,1.8,29.6,18.2,14.3,30.7,23791
1,OAKLAND,16913961.04,36,Oakland,Multifamily,76,1181862.329,1880153.551,41.82637057,-87.60828676,2448,1599,65,1.3,39.7,28.7,18.4,40.4,19252
2,FULLER PARK,19916704.87,37,Fuller Park,Senior,100,1175183.479,1871367.582,41.80241312,-87.63305258,699,506,72,3.2,51.2,33.9,26.6,44.9,10432
3,GRAND BOULEVARD,48492503.16,38,Grand Boulevard,Senior,60,1182079.08,1871653.126,41.80303973,-87.60775489,7914,4123,52,3.3,29.3,24.3,15.9,39.5,23472
4,KENWOOD,29071741.93,39,Kenwood,Multifamily,39,1182801.325,1873991.948,41.80944088,-87.60503342,6195,1985,32,2.4,21.7,15.7,11.3,35.4,35911
5,LINCOLN SQUARE,71352328.24,4,Lincoln Square,ARO,2,1159495.407,1930676.176,41.96549759,-87.68895433,10744,1221,11,3.4,10.9,8.2,13.4,25.5,37524
6,WASHINGTON PARK,42373881.48,40,Washington Park,Senior HUD 202,53,1178070.443,1867951.677,41.79297452,-87.62256852,3750,1973,53,5.6,42.1,28.6,25.4,42.8,13785
7,HYDE PARK,45105380.17,41,Hyde Park,ARO,10,1185102.561,1869464.413,41.79696316,-87.59673531,8027,1621,20,1.5,18.4,8.4,4.3,26.2,39056
8,WOODLAWN,57815179.51,42,Woodlawn,Multifamily,15,1182961.608,1862758.255,41.77861094,-87.60479472,8019,3801,47,2.9,30.7,23.4,16.5,36.1,18672
9,ROGERS PARK,51259902.45,1,Rogers Park,Senior,44,1165843.898,1946058.513,42.00757377,-87.66517114,18342,4870,27,7.7,23.6,8.7,18.2,27.5,23939
10,JEFFERSON PARK,64868161.68,11,Jefferson Park,Senior,73,1136226.971,1935211.185,41.97839039,-87.77439957,3800,1063,28,2.7,8.6,12.4,13.4,35.5,27751
11,NORTH PARK,70288706.43,13,North Park,Senior,137,1148723.501,1938044.237,41.98593151,-87.72836921,3321,1089,33,3.9,13.2,9.9,14.4,39,26576
12,ALBANY PARK,53542230.82,14,Albany Park,Senior,97,1145674.754,1931569.979,41.96822423,-87.73974749,9825,3052,31,11.3,19.2,10,32.9,32,21323
13,PORTAGE PARK,110196097.1,15,Portage Park,ARO,2,0,0,0,0,9680,2928,30,4.1,11.6,12.6,19.3,34,24336
